Year,From_district,From_area,To_district,To_area,Amount
,Уральский,Города,Северо-Кавказ-Ский,Сёла,"4,219"
,Центральный,Города,Северо-Кавказ-Ский,Сёла,"6,643"
,Южный,Города,Северо-Кавказ-Ский,Сёла,"5,442"
,Дальневосточный,Города,Сибир-Ский,Сёла,"3,449"
,Приволжский,Города,Сибир-Ский,Сёла,"1,172"
,Северо-Западный,Города,Сибир-Ский,Сёла,"1,637"
,Северо-Кавказский,Города,Сибир-Ский,Сёла,279
,Сибирский,Города,Сибир-Ский,Сёла,"110,632"
,Уральский,Города,Сибир-Ский,Сёла,"3,719"
,Центральный,Города,Сибир-Ский,Сёла,"2,620"
,Южный,Города,Сибир-Ский,Сёла,"1,155"
,Дальневосточный,Города,Ураль-Ский,Сёла,515
,Приволжский,Города,Ураль-Ский,Сёла,"2,460"
,Северо-Западный,Города,Ураль-Ский,Сёла,873
,Северо-Кавказский,Города,Ураль-Ский,Сёла,263
,Сибирский,Города,Ураль-Ский,Сёла,"1,828"
,Уральский,Города,Ураль-Ский,Сёла,"52,029"
,Центральный,Города,Ураль-Ский,Сёла,"1,503"
,Южный,Города,Ураль-Ский,Сёла,878
,Дальневосточный,Города,Централь-Ный,Сёла,"2,467"
,Приволжский,Города,Централь-Ный,Сёла,"9,697"
,Северо-Западный,Города,Централь-Ный,Сёла,"9,415"
,Северо-Кавказский,Города,Централь-Ный,Сёла,"2,160"
,Сибирский,Города,Централь-Ный,Сёла,"4,000"
,Уральский,Города,Централь-Ный,Сёла,"3,357"
,Центральный,Города,Централь-Ный,Сёла,"149,814"
,Южный,Города,Централь-Ный,Сёла,"5,054"
,Дальневосточный,Города,Южный,Сёла,"4,025"
,Приволжский,Города,Южный,Сёла,"5,189"
,Северо-Западный,Города,Южный,Сёла,"5,721"
,Северо-Кавказский,Города,Южный,Сёла,"4,083"
,Сибирский,Города,Южный,Сёла,"6,688"
,Уральский,Города,Южный,Сёла,"6,325"
,Центральный,Города,Южный,Сёла,"11,457"
,Южный,Города,Южный,Сёла,"58,952"
,Дальневосточный,Сёла,Дальне-Восточ-Ный,Города,"42,851"
,Приволжский,Сёла,Дальне-Восточ-Ный,Города,"1,477"
,Северо-Западный,Сёла,Дальне-Восточ-Ный,Города,499
,Северо-Кавказский,Сёла,Дальне-Восточ-Ный,Города,876
,Сибирский,Сёла,Дальне-Восточ-Ный,Города,"4,284"
,Уральский,Сёла,Дальне-Восточ-Ный,Города,517
,Центральный,Сёла,Дальне-Восточ-Ный,Города,"1,716"
,Южный,Сёла,Дальне-Восточ-Ный,Города,"2,227"
,Дальневосточный,Сёла,Приволж-Ский,Города,945
,Приволжский,Сёла,Приволж-Ский,Города,"187,745"
,Северо-Западный,Сёла,Приволж-Ский,Города,"2,223"
,Северо-Кавказский,Сёла,Приволж-Ский,Города,"2,034"
,Сибирский,Сёла,Приволж-Ский,Города,"1,365"
,Уральский,Сёла,Приволж-Ский,Города,"2,679"
,Центральный,Сёла,Приволж-Ский,Города,"5,917"
,Южный,Сёла,Приволж-Ский,Города,"3,504"
,Дальневосточный,Сёла,Северо-Западный,Города,"1,298"
,Приволжский,Сёла,Северо-Западный,Города,"6,733"
,Северо-Западный,Сёла,Северо-Западный,Города,"66,250"
,Северо-Кавказский,Сёла,Северо-Западный,Города,"4,509"
,Сибирский,Сёла,Северо-Западный,Города,"2,531"
,Уральский,Сёла,Северо-Западный,Города,"1,159"
,Центральный,Сёла,Северо-Западный,Города,"8,922"
,Южный,Сёла,Северо-Западный,Города,"5,564"
,Дальневосточный,Сёла,Северо-Кавказ-Ский,Города,220
,Приволжский,Сёла,Северо-Кавказ-Ский,Города,810
,Северо-Западный,Сёла,Северо-Кавказ-Ский,Города,542
,Северо-Кавказский,Сёла,Северо-Кавказ-Ский,Города,"35,004"
,Сибирский,Сёла,Северо-Кавказ-Ский,Города,356
,Уральский,Сёла,Северо-Кавказ-Ский,Города,323
,Центральный,Сёла,Северо-Кавказ-Ский,Города,"1,436"
,Южный,Сёла,Северо-Кавказ-Ский,Города,"3,171"
,Дальневосточный,Сёла,Сибир-Ский,Города,"1,795"
,Приволжский,Сёла,Сибир-Ский,Города,"2,485"
,Северо-Западный,Сёла,Сибир-Ский,Города,923
,Северо-Кавказский,Сёла,Сибир-Ский,Города,"2,165"
,Сибирский,Сёла,Сибир-Ский,Города,"127,114"
,Уральский,Сёла,Сибир-Ский,Города,"1,766"
,Центральный,Сёла,Сибир-Ский,Города,"2,148"
,Южный,Сёла,Сибир-Ский,Города,"2,977"
,Дальневосточный,Сёла,Ураль-Ский,Города,501
,Приволжский,Сёла,Ураль-Ский,Города,"16,067"
,Северо-Западный,Сёла,Ураль-Ский,Города,768
,Северо-Кавказский,Сёла,Ураль-Ский,Города,"6,048"
,Сибирский,Сёла,Ураль-Ский,Города,"5,043"
,Уральский,Сёла,Ураль-Ский,Города,"60,424"
,Центральный,Сёла,Ураль-Ский,Города,"2,455"
,Южный,Сёла,Ураль-Ский,Города,"4,005"
,Дальневосточный,Сёла,Централь-Ный,Города,"2,082"
,Приволжский,Сёла,Централь-Ный,Города,"20,622"
,Северо-Западный,Сёла,Централь-Ный,Города,"5,941"
,Северо-Кавказский,Сёла,Централь-Ный,Города,"10,137"
,Сибирский,Сёла,Централь-Ный,Города,"4,565"
,Уральский,Сёла,Централь-Ный,Города,"2,101"
,Центральный,Сёла,Централь-Ный,Города,"165,881"
,Южный,Сёла,Централь-Ный,Города,"13,305"
,Дальневосточный,Сёла,Южный,Города,"1,378"
,Приволжский,Сёла,Южный,Города,"3,307"
,Северо-Западный,Сёла,Южный,Города,"1,553"
,Северо-Кавказский,Сёла,Южный,Города,"7,299"
,Сибирский,Сёла,Южный,Города,"2,404"
,Уральский,Сёла,Южный,Города,"1,410"
,Центральный,Сёла,Южный,Города,"4,764"
,Южный,Сёла,Южный,Города,"72,453"
,Дальневосточный,Сёла,Дальне-Восточ-Ный,Сёла,"14,442"
,Приволжский,Сёла,Дальне-Восточ-Ный,Сёла,352
,Северо-Западный,Сёла,Дальне-Восточ-Ный,Сёла,109
,Северо-Кавказский,Сёла,Дальне-Восточ-Ный,Сёла,237
,Сибирский,Сёла,Дальне-Восточ-Ный,Сёла,"1,020"
,Уральский,Сёла,Дальне-Восточ-Ный,Сёла,121
,Центральный,Сёла,Дальне-Восточ-Ный,Сёла,347
,Южный,Сёла,Дальне-Восточ-Ный,Сёла,447
,Дальневосточный,Сёла,Приволж-Ский,Сёла,390
,Приволжский,Сёла,Приволж-Ский,Сёла,"80,840"
